Area,X_ft,Y_ft,Width_ft,Height_ft,Rows,Cols,Machines
B1,0.0,7.0,26,98,8,2,15
A,31.0,19.0,14,74,6,1,6
B2,50.0,7.0,26,98,8,2,15
C,81.0,37.0,14,38,3,1,3
D,100.0,7.0,26,98,8,2,15
I,131.0,0.0,36,112,8,1,8
J,172.0,0.0,72,112,8,2,15
