Part,Weekly_Demand,Distance_Per_Unit_ft,Total_Weekly_Flow_unit_ft,Formula
P1,26100.0,273.33,7133913.0,26100.0 × 273.33 ft
P2,15400.0,131.31,2022174.0,15400.0 × 131.31 ft
P3,12600.0,135.02,1701252.0,12600.0 × 135.02 ft
P4,10200.0,129.38,1319676.0,10200.0 × 129.38 ft
P5,8900.0,83.83,746087.0,8900.0 × 83.83 ft
P6,8700.0,130.67,1136829.0,8700.0 × 130.67 ft
P7,16900.0,183.38,3099122.0,16900.0 × 183.38 ft
P8,12200.0,125.69,1533418.0,12200.0 × 125.69 ft
P9,11400.0,226.08,2577312.0,11400.0 × 226.08 ft
P10,6800.0,79.28,539104.0,6800.0 × 79.28 ft
P11,15200.0,145.03,2204456.0,15200.0 × 145.03 ft
P12,18200.0,156.29,2844478.0,18200.0 × 156.29 ft
P13,9100.0,232.49,2115659.0,9100.0 × 232.49 ft
P14,24600.0,155.58,3827268.0,24600.0 × 155.58 ft
P15,6000.0,120.81,724860.0,6000.0 × 120.81 ft
P16,12800.0,193.34,2474752.0,12800.0 × 193.34 ft
P17,10800.0,11.99,129492.0,10800.0 × 11.99 ft
P18,17700.0,17.81,315237.0,17700.0 × 17.81 ft
P19,25800.0,30.92,797736.0,25800.0 × 30.92 ft
P20,21100.0,16.68,351948.0,21100.0 × 16.68 ft
