Part,Weekly_Demand,Distance_Per_Unit_ft,Total_Weekly_Flow_unit_ft,Formula
P1,27300.0,287.68,7853664.0,27300.0 × 287.68 ft
P2,15300.0,131.31,2009043.0,15300.0 × 131.31 ft
P3,17000.0,169.73,2885410.0,17000.0 × 169.73 ft
P4,10500.0,129.38,1358490.0,10500.0 × 129.38 ft
P5,9800.0,96.88,949424.0,9800.0 × 96.88 ft
P6,9900.0,130.67,1293633.0,9900.0 × 130.67 ft
P7,16900.0,183.38,3099122.0,16900.0 × 183.38 ft
P8,15900.0,124.65,1981935.0,15900.0 × 124.65 ft
P9,12300.0,226.08,2780784.0,12300.0 × 226.08 ft
P10,7200.0,79.28,570816.0,7200.0 × 79.28 ft
P11,18800.0,218.86,4114568.0,18800.0 × 218.86 ft
P12,21700.0,162.36,3523212.0,21700.0 × 162.36 ft
P13,10600.0,248.91,2638446.0,10600.0 × 248.91 ft
P14,25200.0,155.58,3920616.0,25200.0 × 155.58 ft
P15,7700.0,133.33,1026641.0,7700.0 × 133.33 ft
P16,13100.0,193.34,2532754.0,13100.0 × 193.34 ft
P17,13100.0,12.4,162440.0,13100.0 × 12.4 ft
P18,19200.0,17.81,341952.0,19200.0 × 17.81 ft
P19,27600.0,33.54,925704.0,27600.0 × 33.54 ft
P20,22500.0,17.41,391725.0,22500.0 × 17.41 ft
