,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,26700.0,7400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,14900.0,0.0,27200.0,19000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,43100.0,0.0,0.0,0.0,0.0,13450.0,0.0,0.0,0.0,0.0
D,0.0,0.0,13450.0,0.0,0.0,0.0,5550.0,13650.0,29450.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,33100.0,56100.0,12300.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,8500.0,0.0,0.0,0.0,35100.0,12950.0,18900.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,21200.0,28200.0,0.0,26150.0,21200.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20300.0,25800.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76150.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12300.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20450.0,24000.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,0.0,40800.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15750.0,0.0
