Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,14900.0,34100.0,29800.0,68200.0
B,26700.0,61100.0,53400.0,122200.0
C,56550.0,56550.0,113100.0,113100.0
D,62100.0,62100.0,124200.0,124200.0
E,21200.0,101500.0,42400.0,203000.0
F,61300.0,75450.0,122600.0,150900.0
G,96750.0,96750.0,193500.0,193500.0
H,65050.0,46100.0,130100.0,92200.0
I,115600.0,76150.0,231200.0,152300.0
J,101950.0,12300.0,203900.0,24600.0
K,24000.0,44450.0,48000.0,88900.0
L,36200.0,64800.0,72400.0,129600.0
M,64800.0,15750.0,129600.0,31500.0
