Part,Weekly_Demand,Distance_Per_Unit_ft,Total_Weekly_Flow_unit_ft,Formula
P1,29800.0,287.68,8572864.0,29800.0 × 287.68 ft
P2,14800.0,131.31,1943388.0,14800.0 × 131.31 ft
P3,26900.0,186.31,5011739.0,26900.0 × 186.31 ft
P4,11100.0,129.38,1436118.0,11100.0 × 129.38 ft
P5,12100.0,102.15,1236015.0,12100.0 × 102.15 ft
P6,12500.0,164.87,2060875.0,12500.0 × 164.87 ft
P7,17000.0,198.79,3379430.0,17000.0 × 198.79 ft
P8,24600.0,147.08,3618168.0,24600.0 × 147.08 ft
P9,14600.0,226.67,3309382.0,14600.0 × 226.67 ft
P10,8000.0,96.82,774560.0,8000.0 × 96.82 ft
P11,27800.0,226.34,6292252.0,27800.0 × 226.34 ft
P12,29800.0,198.6,5918280.0,29800.0 × 198.6 ft
P13,14400.0,228.98,3297312.0,14400.0 × 228.98 ft
P14,26800.0,171.15,4586820.0,26800.0 × 171.15 ft
P15,12200.0,146.29,1784738.0,12200.0 × 146.29 ft
P16,13700.0,172.56,2364072.0,13700.0 × 172.56 ft
P17,18600.0,16.6,308760.0,18600.0 × 16.6 ft
P18,22300.0,19.6,437080.0,22300.0 × 19.6 ft
P19,31500.0,33.54,1056510.0,31500.0 × 33.54 ft
P20,25700.0,17.41,447437.0,25700.0 × 17.41 ft
