Year,Process,Total_In_Flow,Total_Out_Flow
Year 2,A,26100.0,60400.0
Year 2,B,45000.0,92600.0
Year 2,C,88600.0,88600.0
Year 2,D,98800.0,98800.0
Year 2,E,26600.0,135600.0
Year 2,F,90700.0,114900.0
Year 2,G,130400.0,130400.0
Year 2,H,99000.0,64200.0
Year 2,I,158900.0,113500.0
Year 2,J,147100.0,12200.0
Year 2,K,38800.0,67300.0
Year 2,L,54300.0,101200.0
Year 2,M,101200.0,25800.0
