Year,Process,Total_In_Flow,Total_Out_Flow
Year 5,A,29800.0,68200.0
Year 5,B,53400.0,122200.0
Year 5,C,113100.0,113100.0
Year 5,D,124200.0,124200.0
Year 5,E,42400.0,203000.0
Year 5,F,122600.0,150900.0
Year 5,G,193500.0,193500.0
Year 5,H,130100.0,92200.0
Year 5,I,231200.0,152300.0
Year 5,J,203900.0,24600.0
Year 5,K,48000.0,88900.0
Year 5,L,72400.0,129600.0
Year 5,M,129600.0,31500.0
