Year,Process,Total_In_Flow,Total_Out_Flow
Year 4,A,28500.0,65600.0
Year 4,B,50400.0,111000.0
Year 4,C,103800.0,103800.0
Year 4,D,114600.0,114600.0
Year 4,E,35600.0,174600.0
Year 4,F,109100.0,135700.0
Year 4,G,166600.0,166600.0
Year 4,H,117400.0,80800.0
Year 4,I,202100.0,137300.0
Year 4,J,181500.0,19600.0
Year 4,K,44600.0,80700.0
Year 4,L,65500.0,118800.0
Year 4,M,118800.0,29400.0
