Year,Process,Total_In_Flow,Total_Out_Flow
Year 3,A,27300.0,63000.0
Year 3,B,47700.0,101800.0
Year 3,C,96200.0,96200.0
Year 3,D,106700.0,106700.0
Year 3,E,31100.0,155100.0
Year 3,F,99900.0,125300.0
Year 3,G,148500.0,148500.0
Year 3,H,108200.0,72500.0
Year 3,I,180500.0,125400.0
Year 3,J,164300.0,15900.0
Year 3,K,41700.0,74000.0
Year 3,L,59900.0,110000.0
Year 3,M,110000.0,27600.0
