Area,X_ft,Y_ft,Width_ft,Height_ft,Rows,Cols,Machines
B1,0.0,5.0,26,74,6,2,12
A,31.0,11.0,14,62,5,1,5
B2,50.0,5.0,26,74,6,2,12
C,81.0,23.0,14,38,3,1,3
D,100.0,5.0,26,74,6,2,12
I,131.0,0.0,36,84,6,1,6
J,172.0,0.0,72,84,6,2,12
