Area,X_ft,Y_ft,Width_ft,Height_ft,Rows,Cols,Machines
B1,0.0,8.0,26,110,9,2,17
A,26.0,20.0,14,86,7,1,7
B2,40.0,8.0,26,110,9,2,17
C,66.0,38.0,14,50,4,1,4
D,80.0,8.0,26,110,9,2,17
I,106.0,0.0,36,126,9,1,9
J,142.0,0.0,72,126,9,2,17
