process,group,equipment_count,layout_grid,rows,cols,total_spaces,wasted_spaces,machine_width_ft,machine_depth_ft,block_width_ft,block_depth_ft,block_area_sqft,aspect_ratio,utilization,perimeter_ft,optimization_score
A,ABCD,4,2×2,2,2,4,0,14,14,26,26,676,1.0,1.0,104,46.76
B,ABCD,12,3×4,3,4,12,0,14,14,50,38,1900,1.333,1.0,176,105.67
C,ABCD,4,2×2,2,2,4,0,14,14,26,26,676,1.0,1.0,104,46.76
D,ABCD,18,3×6,3,6,18,0,14,14,74,38,2812,2.0,1.0,224,168.12
E,EFG,10,2×5,2,5,10,0,22,15,110,30,3300,2.5,1.0,280,178.0
F,EFG,10,2×5,2,5,10,0,22,15,110,30,3300,2.5,1.0,280,178.0
G,EFG,4,2×2,2,2,4,0,22,15,44,30,1320,1.0,1.0,148,53.2
H,HIJ,12,3×4,3,4,12,0,14,36,56,108,6048,1.333,1.0,328,147.15
I,HIJ,12,3×4,3,4,12,0,14,36,56,108,6048,1.333,1.0,328,147.15
J,HIJ,20,4×5,4,5,20,0,14,36,70,144,10080,1.25,1.0,428,203.3
K,KLM,3,3×1,3,1,3,0,14,7,14,19,266,3.0,1.0,66,142.66
L,KLM,13,7×2,7,2,14,1,14,7,28,43,1204,3.5,0.9286,142,341.33
M,KLM,20,5×4,5,4,20,0,14,7,56,31,1736,1.25,1.0,174,119.86
