,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,23850.0,7650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,13650.0,0.0,23500.0,13750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,39600.0,0.0,0.0,0.0,0.0,8500.0,0.0,0.0,0.0,0.0
D,0.0,0.0,8500.0,0.0,0.0,0.0,5250.0,12600.0,27000.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,29950.0,39650.0,7950.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,8450.0,0.0,0.0,0.0,29350.0,10400.0,14450.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,15550.0,20000.0,0.0,23150.0,15550.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16800.0,19450.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62700.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7950.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16150.0,20850.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20850.0,0.0,34150.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13800.0,0.0
