Year,From,To,Flow,Center_ID
3,A,B,23850.0,1
3,A,C,7650.0,1
3,B,A,13650.0,1
3,B,C,23500.0,1
3,B,D,13750.0,1
3,C,D,39600.0,1
3,C,I,8500.0,1
3,D,C,8500.0,1
3,D,G,5250.0,1
3,D,H,12600.0,1
3,D,I,27000.0,1
3,E,F,29950.0,1
3,E,G,39650.0,1
3,E,H,7950.0,1
3,F,C,8450.0,1
3,F,G,29350.0,1
3,F,H,10400.0,1
3,F,I,14450.0,1
3,G,E,15550.0,1
3,G,F,20000.0,1
3,G,H,23150.0,1
3,G,I,15550.0,1
3,H,I,16800.0,1
3,H,J,19450.0,1
3,I,J,62700.0,1
3,J,I,7950.0,1
3,K,L,16150.0,1
3,K,M,20850.0,1
3,L,K,20850.0,1
3,L,M,34150.0,1
3,M,L,13800.0,1
