Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,13650.0,31500.0,27300.0,63000.0
B,23850.0,50900.0,47700.0,101800.0
C,48100.0,48100.0,96200.0,96200.0
D,53350.0,53350.0,106700.0,106700.0
E,15550.0,77550.0,31100.0,155100.0
F,49950.0,62650.0,99900.0,125300.0
G,74250.0,74250.0,148500.0,148500.0
H,54100.0,36250.0,108200.0,72500.0
I,90250.0,62700.0,180500.0,125400.0
J,82150.0,7950.0,164300.0,15900.0
K,20850.0,37000.0,41700.0,74000.0
L,29950.0,55000.0,59900.0,110000.0
M,55000.0,13800.0,110000.0,27600.0
