Year,From,To,Flow,Center_ID
2,A,B,11250.0,1
2,A,C,3850.0,1
2,B,A,6525.0,1
2,B,C,10925.0,1
2,B,D,5700.0,1
2,C,D,19000.0,1
2,C,I,3150.0,1
2,D,C,3150.0,1
2,D,G,2550.0,1
2,D,H,6025.0,1
2,D,I,12975.0,1
2,E,F,14350.0,1
2,E,G,16500.0,1
2,E,H,3050.0,1
2,F,C,4225.0,1
2,F,G,13550.0,1
2,F,H,4700.0,1
2,F,I,6250.0,1
2,G,E,6650.0,1
2,G,F,8325.0,1
2,G,H,10975.0,1
2,G,I,6650.0,1
2,H,I,7650.0,1
2,H,J,8400.0,1
2,I,J,28375.0,1
2,J,I,3050.0,1
2,K,L,7125.0,1
2,K,M,9700.0,1
2,L,K,9700.0,1
2,L,M,15600.0,1
2,M,L,6450.0,1
