Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,6525.0,15100.0,26100.0,60400.0
B,11250.0,23150.0,45000.0,92600.0
C,22150.0,22150.0,88600.0,88600.0
D,24700.0,24700.0,98800.0,98800.0
E,6650.0,33900.0,26600.0,135600.0
F,22675.0,28725.0,90700.0,114900.0
G,32600.0,32600.0,130400.0,130400.0
H,24750.0,16050.0,99000.0,64200.0
I,39725.0,28375.0,158900.0,113500.0
J,36775.0,3050.0,147100.0,12200.0
K,9700.0,16825.0,38800.0,67300.0
L,13575.0,25300.0,54300.0,101200.0
M,25300.0,6450.0,101200.0,25800.0
