,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,11250.0,3850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,6525.0,0.0,10925.0,5700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,19000.0,0.0,0.0,0.0,0.0,3150.0,0.0,0.0,0.0,0.0
D,0.0,0.0,3150.0,0.0,0.0,0.0,2550.0,6025.0,12975.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,14350.0,16500.0,3050.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,4225.0,0.0,0.0,0.0,13550.0,4700.0,6250.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,6650.0,8325.0,0.0,10975.0,6650.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7650.0,8400.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28375.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7125.0,9700.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9700.0,0.0,15600.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6450.0,0.0
