Year,From,To,Flow,Center_ID
2,A,B,22500.0,1
2,A,C,7700.0,1
2,B,A,13050.0,1
2,B,C,21850.0,1
2,B,D,11400.0,1
2,C,D,38000.0,1
2,C,I,6300.0,1
2,D,C,6300.0,1
2,D,G,5100.0,1
2,D,H,12050.0,1
2,D,I,25950.0,1
2,E,F,28700.0,1
2,E,G,33000.0,1
2,E,H,6100.0,1
2,F,C,8450.0,1
2,F,G,27100.0,1
2,F,H,9400.0,1
2,F,I,12500.0,1
2,G,E,13300.0,1
2,G,F,16650.0,1
2,G,H,21950.0,1
2,G,I,13300.0,1
2,H,I,15300.0,1
2,H,J,16800.0,1
2,I,J,56750.0,1
2,J,I,6100.0,1
2,K,L,14250.0,1
2,K,M,19400.0,1
2,L,K,19400.0,1
2,L,M,31200.0,1
2,M,L,12900.0,1
