Year,From,To,Flow,Center_ID
4,A,B,25200.0,1
4,A,C,7600.0,1
4,B,A,14250.0,1
4,B,C,25150.0,1
4,B,D,16100.0,1
4,C,D,41200.0,1
4,C,I,10700.0,1
4,D,C,10700.0,1
4,D,G,5400.0,1
4,D,H,13150.0,1
4,D,I,28050.0,1
4,E,F,31200.0,1
4,E,G,46300.0,1
4,E,H,9800.0,1
4,F,C,8450.0,1
4,F,G,31600.0,1
4,F,H,11400.0,1
4,F,I,16400.0,1
4,G,E,17800.0,1
4,G,F,23350.0,1
4,G,H,24350.0,1
4,G,I,17800.0,1
4,H,I,18300.0,1
4,H,J,22100.0,1
4,I,J,68650.0,1
4,J,I,9800.0,1
4,K,L,18050.0,1
4,K,M,22300.0,1
4,L,K,22300.0,1
4,L,M,37100.0,1
4,M,L,14700.0,1
