Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,14250.0,32800.0,28500.0,65600.0
B,25200.0,55500.0,50400.0,111000.0
C,51900.0,51900.0,103800.0,103800.0
D,57300.0,57300.0,114600.0,114600.0
E,17800.0,87300.0,35600.0,174600.0
F,54550.0,67850.0,109100.0,135700.0
G,83300.0,83300.0,166600.0,166600.0
H,58700.0,40400.0,117400.0,80800.0
I,101050.0,68650.0,202100.0,137300.0
J,90750.0,9800.0,181500.0,19600.0
K,22300.0,40350.0,44600.0,80700.0
L,32750.0,59400.0,65500.0,118800.0
M,59400.0,14700.0,118800.0,29400.0
