,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,25200.0,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,14250.0,0.0,25150.0,16100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,41200.0,0.0,0.0,0.0,0.0,10700.0,0.0,0.0,0.0,0.0
D,0.0,0.0,10700.0,0.0,0.0,0.0,5400.0,13150.0,28050.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,31200.0,46300.0,9800.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,8450.0,0.0,0.0,0.0,31600.0,11400.0,16400.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,17800.0,23350.0,0.0,24350.0,17800.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18300.0,22100.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68650.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9800.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18050.0,22300.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22300.0,0.0,37100.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14700.0,0.0
