,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,50400.0,15200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,28500.0,0.0,50300.0,32200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,82400.0,0.0,0.0,0.0,0.0,21400.0,0.0,0.0,0.0,0.0
D,0.0,0.0,21400.0,0.0,0.0,0.0,10800.0,26300.0,56100.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,62400.0,92600.0,19600.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,16900.0,0.0,0.0,0.0,63200.0,22800.0,32800.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,35600.0,46700.0,0.0,48700.0,35600.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36600.0,44200.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137300.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19600.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36100.0,44600.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44600.0,0.0,74200.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29400.0,0.0
