Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,8700.0,20133.333333333332,26100.0,60400.0
B,15000.0,30866.666666666664,45000.0,92600.0
C,29533.333333333332,29533.333333333332,88600.0,88600.0
D,32933.33333333333,32933.33333333333,98799.99999999999,98799.99999999999
E,8866.666666666668,45200.00000000001,26600.000000000004,135600.00000000003
F,30233.333333333336,38300.0,90700.0,114900.0
G,43466.66666666667,43466.66666666667,130400.00000000001,130400.00000000001
H,33000.0,21400.0,99000.0,64200.0
I,52966.666666666664,37833.33333333333,158900.0,113499.99999999999
J,49033.33333333333,4066.6666666666665,147100.0,12200.0
K,12933.333333333332,22433.333333333332,38800.0,67300.0
L,18100.0,33733.33333333333,54300.0,101199.99999999999
M,33733.33333333333,8600.0,101199.99999999999,25800.0
