,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,15000.0,5133.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,8700.0,0.0,14566.666666666666,7600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,25333.333333333332,0.0,0.0,0.0,0.0,4200.0,0.0,0.0,0.0,0.0
D,0.0,0.0,4200.0,0.0,0.0,0.0,3400.0,8033.333333333333,17300.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,19133.333333333336,22000.000000000004,4066.6666666666665,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,5633.333333333333,0.0,0.0,0.0,18066.666666666668,6266.666666666667,8333.333333333334,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,8866.666666666668,11100.0,0.0,14633.333333333334,8866.666666666668,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10200.0,11200.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37833.33333333333,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4066.6666666666665,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500.0,12933.333333333332
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12933.333333333332,0.0,20800.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8600.0,0.0
