,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,45000.0,15400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,26100.0,0.0,43700.0,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,76000.0,0.0,0.0,0.0,0.0,12600.0,0.0,0.0,0.0,0.0
D,0.0,0.0,12600.0,0.0,0.0,0.0,10200.0,24100.0,51900.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,57400.00000000001,66000.00000000001,12200.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,16900.0,0.0,0.0,0.0,54200.0,18800.0,25000.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,26600.000000000004,33300.0,0.0,43900.0,26600.000000000004,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30600.0,33600.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113499.99999999999,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12200.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28500.0,38800.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38800.0,0.0,62400.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25800.0,0.0
