Year,From,To,Flow,Center_ID
2,A,B,15000.0,1
2,A,C,5133.333333333333,1
2,B,A,8700.0,1
2,B,C,14566.666666666666,1
2,B,D,7600.0,1
2,C,D,25333.333333333332,1
2,C,I,4200.0,1
2,D,C,4200.0,1
2,D,G,3400.0,1
2,D,H,8033.333333333333,1
2,D,I,17300.0,1
2,E,F,19133.333333333336,1
2,E,G,22000.000000000004,1
2,E,H,4066.6666666666665,1
2,F,C,5633.333333333333,1
2,F,G,18066.666666666668,1
2,F,H,6266.666666666667,1
2,F,I,8333.333333333334,1
2,G,E,8866.666666666668,1
2,G,F,11100.0,1
2,G,H,14633.333333333334,1
2,G,I,8866.666666666668,1
2,H,I,10200.0,1
2,H,J,11200.0,1
2,I,J,37833.33333333333,1
2,J,I,4066.6666666666665,1
2,K,L,9500.0,1
2,K,M,12933.333333333332,1
2,L,K,12933.333333333332,1
2,L,M,20800.0,1
2,M,L,8600.0,1
