Center_ID,Process,Global_X,Global_Y,Local_X,Local_Y,Width,Height,Equipment_Count
1,A,-2.3167019636764725,26.411420643494687,-2.3167019636764725,26.411420643494687,16,16,3
1,B,3.8407918760145403,16.800794827423584,3.8407918760145403,16.800794827423584,28,28,9
1,C,-28.76987760563622,-2.426964178147046,-28.76987760563622,-2.426964178147046,16,16,3
1,D,-25.404732606435804,3.9542357737863183,-25.404732606435804,3.9542357737863183,36,36,13
1,E,-5.171484801924808,12.162854542554864,-5.171484801924808,12.162854542554864,22,22,6
1,F,-16.457822821119574,12.734107815414111,-16.457822821119574,12.734107815414111,24,24,7
1,G,-2.878118427738973,2.5875687497974162,-2.878118427738973,2.5875687497974162,16,16,3
1,H,-20.385148065736214,-12.394810060711169,-20.385148065736214,-12.394810060711169,28,28,9
1,I,-17.79895744180858,-2.879135028346337,-17.79895744180858,-2.879135028346337,26,26,8
1,J,-13.280446464282155,-11.74232720391305,-13.280446464282155,-11.74232720391305,38,38,14
1,K,-0.7870303590243172,-15.659065076744854,-0.7870303590243172,-15.659065076744854,14,14,2
1,L,-5.289295066854253,-6.393230706094575,-5.289295066854253,-6.393230706094575,28,28,9
1,M,-10.015354612554706,2.0732243391727727,-10.015354612554706,2.0732243391727727,38,38,14
2,A,97.68329803632352,26.411420643494687,-2.3167019636764725,26.411420643494687,16,16,3
2,B,103.84079187601453,16.800794827423584,3.8407918760145403,16.800794827423584,28,28,9
2,C,71.23012239436378,-2.426964178147046,-28.76987760563622,-2.426964178147046,16,16,3
2,D,74.5952673935642,3.9542357737863183,-25.404732606435804,3.9542357737863183,36,36,13
2,E,94.8285151980752,12.162854542554864,-5.171484801924808,12.162854542554864,22,22,6
2,F,83.54217717888042,12.734107815414111,-16.457822821119574,12.734107815414111,24,24,7
2,G,97.12188157226103,2.5875687497974162,-2.878118427738973,2.5875687497974162,16,16,3
2,H,79.61485193426378,-12.394810060711169,-20.385148065736214,-12.394810060711169,28,28,9
2,I,82.20104255819142,-2.879135028346337,-17.79895744180858,-2.879135028346337,26,26,8
2,J,86.71955353571785,-11.74232720391305,-13.280446464282155,-11.74232720391305,38,38,14
2,K,99.21296964097569,-15.659065076744854,-0.7870303590243172,-15.659065076744854,14,14,2
2,L,94.71070493314575,-6.393230706094575,-5.289295066854253,-6.393230706094575,28,28,9
2,M,89.9846453874453,2.0732243391727727,-10.015354612554706,2.0732243391727727,38,38,14
3,A,-2.3167019636764725,126.4114206434947,-2.3167019636764725,26.411420643494687,16,16,3
3,B,3.8407918760145403,116.80079482742359,3.8407918760145403,16.800794827423584,28,28,9
3,C,-28.76987760563622,97.57303582185295,-28.76987760563622,-2.426964178147046,16,16,3
3,D,-25.404732606435804,103.95423577378632,-25.404732606435804,3.9542357737863183,36,36,13
3,E,-5.171484801924808,112.16285454255487,-5.171484801924808,12.162854542554864,22,22,6
3,F,-16.457822821119574,112.7341078154141,-16.457822821119574,12.734107815414111,24,24,7
3,G,-2.878118427738973,102.58756874979741,-2.878118427738973,2.5875687497974162,16,16,3
3,H,-20.385148065736214,87.60518993928883,-20.385148065736214,-12.394810060711169,28,28,9
3,I,-17.79895744180858,97.12086497165366,-17.79895744180858,-2.879135028346337,26,26,8
3,J,-13.280446464282155,88.25767279608695,-13.280446464282155,-11.74232720391305,38,38,14
3,K,-0.7870303590243172,84.34093492325515,-0.7870303590243172,-15.659065076744854,14,14,2
3,L,-5.289295066854253,93.60676929390543,-5.289295066854253,-6.393230706094575,28,28,9
3,M,-10.015354612554706,102.07322433917277,-10.015354612554706,2.0732243391727727,38,38,14
4,A,97.68329803632352,126.4114206434947,-2.3167019636764725,26.411420643494687,16,16,3
4,B,103.84079187601453,116.80079482742359,3.8407918760145403,16.800794827423584,28,28,9
4,C,71.23012239436378,97.57303582185295,-28.76987760563622,-2.426964178147046,16,16,3
4,D,74.5952673935642,103.95423577378632,-25.404732606435804,3.9542357737863183,36,36,13
4,E,94.8285151980752,112.16285454255487,-5.171484801924808,12.162854542554864,22,22,6
4,F,83.54217717888042,112.7341078154141,-16.457822821119574,12.734107815414111,24,24,7
4,G,97.12188157226103,102.58756874979741,-2.878118427738973,2.5875687497974162,16,16,3
4,H,79.61485193426378,87.60518993928883,-20.385148065736214,-12.394810060711169,28,28,9
4,I,82.20104255819142,97.12086497165366,-17.79895744180858,-2.879135028346337,26,26,8
4,J,86.71955353571785,88.25767279608695,-13.280446464282155,-11.74232720391305,38,38,14
4,K,99.21296964097569,84.34093492325515,-0.7870303590243172,-15.659065076744854,14,14,2
4,L,94.71070493314575,93.60676929390543,-5.289295066854253,-6.393230706094575,28,28,9
4,M,89.9846453874453,102.07322433917277,-10.015354612554706,2.0732243391727727,38,38,14
