Year,From,To,Flow,Center_ID
3,A,B,11925.0,1
3,A,C,3825.0,1
3,B,A,6825.0,1
3,B,C,11750.0,1
3,B,D,6875.0,1
3,C,D,19800.0,1
3,C,I,4250.0,1
3,D,C,4250.0,1
3,D,G,2625.0,1
3,D,H,6300.0,1
3,D,I,13500.0,1
3,E,F,14975.0,1
3,E,G,19825.0,1
3,E,H,3975.0,1
3,F,C,4225.0,1
3,F,G,14675.0,1
3,F,H,5200.0,1
3,F,I,7225.0,1
3,G,E,7775.0,1
3,G,F,10000.0,1
3,G,H,11575.0,1
3,G,I,7775.0,1
3,H,I,8400.0,1
3,H,J,9725.0,1
3,I,J,31350.0,1
3,J,I,3975.0,1
3,K,L,8075.0,1
3,K,M,10425.0,1
3,L,K,10425.0,1
3,L,M,17075.0,1
3,M,L,6900.0,1
