Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,6825.0,15750.0,27300.0,63000.0
B,11925.0,25450.0,47700.0,101800.0
C,24050.0,24050.0,96200.0,96200.0
D,26675.0,26675.0,106700.0,106700.0
E,7775.0,38775.0,31100.0,155100.0
F,24975.0,31325.0,99900.0,125300.0
G,37125.0,37125.0,148500.0,148500.0
H,27050.0,18125.0,108200.0,72500.0
I,45125.0,31350.0,180500.0,125400.0
J,41075.0,3975.0,164300.0,15900.0
K,10425.0,18500.0,41700.0,74000.0
L,14975.0,27500.0,59900.0,110000.0
M,27500.0,6900.0,110000.0,27600.0
