Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,5960.0,13640.0,29800.0,68200.0
B,10680.0,24440.0,53400.0,122200.0
C,22620.0,22620.0,113100.0,113100.0
D,24840.0,24840.0,124200.0,124200.0
E,8480.0,40600.0,42400.0,203000.0
F,24520.0,30180.0,122600.0,150900.0
G,38700.0,38700.0,193500.0,193500.0
H,26020.0,18440.0,130100.0,92200.0
I,46240.0,30460.0,231200.0,152300.0
J,40780.0,4920.0,203900.0,24600.0
K,9600.0,17780.0,48000.0,88900.0
L,14480.0,25920.0,72400.0,129600.0
M,25920.0,6300.0,129600.0,31500.0
