Year,From,To,Flow,Center_ID
5,A,B,10680.0,1
5,A,C,2960.0,1
5,B,A,5960.0,1
5,B,C,10880.0,1
5,B,D,7600.0,1
5,C,D,17240.0,1
5,C,I,5380.0,1
5,D,C,5380.0,1
5,D,G,2220.0,1
5,D,H,5460.0,1
5,D,I,11780.0,1
5,E,F,13240.0,1
5,E,G,22440.0,1
5,E,H,4920.0,1
5,F,C,3400.0,1
5,F,G,14040.0,1
5,F,H,5180.0,1
5,F,I,7560.0,1
5,G,E,8480.0,1
5,G,F,11280.0,1
5,G,H,10460.0,1
5,G,I,8480.0,1
5,H,I,8120.0,1
5,H,J,10320.0,1
5,I,J,30460.0,1
5,J,I,4920.0,1
5,K,L,8180.0,1
5,K,M,9600.0,1
5,L,K,9600.0,1
5,L,M,16320.0,1
5,M,L,6300.0,1
