Year,Center_ID,Process,Global_X,Global_Y,Local_X,Local_Y,Width,Height,Equipment_Count,Scaling_Factor
2,1,A,-2.7515303282304764,25.41820363284304,-2.7515303282304764,25.41820363284304,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,1,B,2.8293990753315423,16.663588089449984,2.8293990753315423,16.663588089449984,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,1,C,-26.399665677733157,-2.2792473525822894,-26.399665677733157,-2.2792473525822894,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,1,D,-23.65629759095069,3.767805651308868,-23.65629759095069,3.767805651308868,51.156015589903824,51.156015589903824,23,0.9135002783911397
2,1,E,-2.417976714144482,8.681128558002873,-2.417976714144482,8.681128558002873,32.88601002208103,32.88601002208103,13,0.9135002783911397
2,1,F,-13.781249947979772,10.444448212022525,-13.781249947979772,10.444448212022525,32.88601002208103,32.88601002208103,13,0.9135002783911397
2,1,G,-3.6015726863073048,1.9145740456966107,-3.6015726863073048,1.9145740456966107,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,1,H,-18.440950968878216,-10.351386072772705,-18.440950968878216,-10.351386072772705,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,1,I,-16.150931815805986,-2.5197669756395524,-16.150931815805986,-2.5197669756395524,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,1,J,-12.327813734612318,-11.012024104580627,-12.327813734612318,-11.012024104580627,58.46401781703294,58.46401781703294,27,0.9135002783911397
2,1,K,-0.8780710594660897,-13.848249333383437,-0.8780710594660897,-13.848249333383437,16.443005011040515,16.443005011040515,4,0.9135002783911397
2,1,L,-4.843470455231204,-5.930537376781766,-4.843470455231204,-5.930537376781766,40.19401224921015,40.19401224921015,17,0.9135002783911397
2,1,M,-9.776310315707208,2.0978641486827123,-9.776310315707208,2.0978641486827123,56.63701726025066,56.63701726025066,26,0.9135002783911397
2,2,A,88.59849751088349,25.41820363284304,-2.7515303282304764,25.41820363284304,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,2,B,94.1794269144455,16.663588089449984,2.8293990753315423,16.663588089449984,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,2,C,64.95036216138081,-2.2792473525822894,-26.399665677733157,-2.2792473525822894,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,2,D,67.69373024816328,3.767805651308868,-23.65629759095069,3.767805651308868,51.156015589903824,51.156015589903824,23,0.9135002783911397
2,2,E,88.93205112496948,8.681128558002873,-2.417976714144482,8.681128558002873,32.88601002208103,32.88601002208103,13,0.9135002783911397
2,2,F,77.56877789113419,10.444448212022525,-13.781249947979772,10.444448212022525,32.88601002208103,32.88601002208103,13,0.9135002783911397
2,2,G,87.74845515280666,1.9145740456966107,-3.6015726863073048,1.9145740456966107,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,2,H,72.90907687023575,-10.351386072772705,-18.440950968878216,-10.351386072772705,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,2,I,75.19909602330797,-2.5197669756395524,-16.150931815805986,-2.5197669756395524,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,2,J,79.02221410450164,-11.012024104580627,-12.327813734612318,-11.012024104580627,58.46401781703294,58.46401781703294,27,0.9135002783911397
2,2,K,90.47195677964787,-13.848249333383437,-0.8780710594660897,-13.848249333383437,16.443005011040515,16.443005011040515,4,0.9135002783911397
2,2,L,86.50655738388276,-5.930537376781766,-4.843470455231204,-5.930537376781766,40.19401224921015,40.19401224921015,17,0.9135002783911397
2,2,M,81.57371752340676,2.0978641486827123,-9.776310315707208,2.0978641486827123,56.63701726025066,56.63701726025066,26,0.9135002783911397
2,3,A,-2.7515303282304764,116.768231471957,-2.7515303282304764,25.41820363284304,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,3,B,2.8293990753315423,108.01361592856395,2.8293990753315423,16.663588089449984,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,3,C,-26.399665677733157,89.07078048653167,-26.399665677733157,-2.2792473525822894,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,3,D,-23.65629759095069,95.11783349042283,-23.65629759095069,3.767805651308868,51.156015589903824,51.156015589903824,23,0.9135002783911397
2,3,E,-2.417976714144482,100.03115639711683,-2.417976714144482,8.681128558002873,32.88601002208103,32.88601002208103,13,0.9135002783911397
2,3,F,-13.781249947979772,101.79447605113648,-13.781249947979772,10.444448212022525,32.88601002208103,32.88601002208103,13,0.9135002783911397
2,3,G,-3.6015726863073048,93.26460188481057,-3.6015726863073048,1.9145740456966107,18.270005567822793,18.270005567822793,5,0.9135002783911397
2,3,H,-18.440950968878216,80.99864176634125,-18.440950968878216,-10.351386072772705,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,3,I,-16.150931815805986,88.83026086347441,-16.150931815805986,-2.5197669756395524,38.367011692427866,38.367011692427866,16,0.9135002783911397
2,3,J,-12.327813734612318,80.33800373453333,-12.327813734612318,-11.012024104580627,58.46401781703294,58.46401781703294,27,0.9135002783911397
2,3,K,-0.8780710594660897,77.50177850573053,-0.8780710594660897,-13.848249333383437,16.443005011040515,16.443005011040515,4,0.9135002783911397
2,3,L,-4.843470455231204,85.41949046233219,-4.843470455231204,-5.930537376781766,40.19401224921015,40.19401224921015,17,0.9135002783911397
2,3,M,-9.776310315707208,93.44789198779668,-9.776310315707208,2.0978641486827123,56.63701726025066,56.63701726025066,26,0.9135002783911397
