Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,7125.0,16400.0,28500.0,65600.0
B,12600.0,27750.0,50400.0,111000.0
C,25950.0,25950.0,103800.0,103800.0
D,28650.0,28650.0,114600.0,114600.0
E,8900.0,43650.0,35600.0,174600.0
F,27275.0,33925.0,109100.0,135700.0
G,41650.0,41650.0,166600.0,166600.0
H,29350.0,20200.0,117400.0,80800.0
I,50525.0,34325.0,202100.0,137300.0
J,45375.0,4900.0,181500.0,19600.0
K,11150.0,20175.0,44600.0,80700.0
L,16375.0,29700.0,65500.0,118800.0
M,29700.0,7350.0,118800.0,29400.0
