Year,From,To,Flow,Center_ID
4,A,B,12600.0,1
4,A,C,3800.0,1
4,B,A,7125.0,1
4,B,C,12575.0,1
4,B,D,8050.0,1
4,C,D,20600.0,1
4,C,I,5350.0,1
4,D,C,5350.0,1
4,D,G,2700.0,1
4,D,H,6575.0,1
4,D,I,14025.0,1
4,E,F,15600.0,1
4,E,G,23150.0,1
4,E,H,4900.0,1
4,F,C,4225.0,1
4,F,G,15800.0,1
4,F,H,5700.0,1
4,F,I,8200.0,1
4,G,E,8900.0,1
4,G,F,11675.0,1
4,G,H,12175.0,1
4,G,I,8900.0,1
4,H,I,9150.0,1
4,H,J,11050.0,1
4,I,J,34325.0,1
4,J,I,4900.0,1
4,K,L,9025.0,1
4,K,M,11150.0,1
4,L,K,11150.0,1
4,L,M,18550.0,1
4,M,L,7350.0,1
