,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,12600.0,3800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,7125.0,0.0,12575.0,8050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,20600.0,0.0,0.0,0.0,0.0,5350.0,0.0,0.0,0.0,0.0
D,0.0,0.0,5350.0,0.0,0.0,0.0,2700.0,6575.0,14025.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,15600.0,23150.0,4900.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,4225.0,0.0,0.0,0.0,15800.0,5700.0,8200.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,8900.0,11675.0,0.0,12175.0,8900.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9150.0,11050.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34325.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4900.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9025.0,11150.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11150.0,0.0,18550.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7350.0,0.0
