Year,From,To,Flow,Center_ID
2,A,B,9000.0,1
2,A,C,3080.0,1
2,B,A,5220.0,1
2,B,C,8740.0,1
2,B,D,4560.0,1
2,C,D,15200.0,1
2,C,I,2520.0,1
2,D,C,2520.0,1
2,D,G,2040.0,1
2,D,H,4820.0,1
2,D,I,10380.0,1
2,E,F,11480.0,1
2,E,G,13200.0,1
2,E,H,2440.0,1
2,F,C,3380.0,1
2,F,G,10840.0,1
2,F,H,3760.0,1
2,F,I,5000.0,1
2,G,E,5320.0,1
2,G,F,6660.0,1
2,G,H,8780.0,1
2,G,I,5320.0,1
2,H,I,6120.0,1
2,H,J,6720.0,1
2,I,J,22700.0,1
2,J,I,2440.0,1
2,K,L,5700.0,1
2,K,M,7760.0,1
2,L,K,7760.0,1
2,L,M,12480.0,1
2,M,L,5160.0,1
