,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,9000.0,3080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,5220.0,0.0,8740.0,4560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,15200.0,0.0,0.0,0.0,0.0,2520.0,0.0,0.0,0.0,0.0
D,0.0,0.0,2520.0,0.0,0.0,0.0,2040.0,4820.0,10380.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,11480.0,13200.0,2440.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,3380.0,0.0,0.0,0.0,10840.0,3760.0,5000.0,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,5320.0,6660.0,0.0,8780.0,5320.0,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6120.0,6720.0,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22700.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5700.0,7760.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7760.0,0.0,12480.0
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5160.0,0.0
