Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,5220.0,12080.0,26100.0,60400.0
B,9000.0,18520.0,45000.0,92600.0
C,17720.0,17720.0,88600.0,88600.0
D,19760.0,19760.0,98800.0,98800.0
E,5320.0,27120.0,26600.0,135600.0
F,18140.0,22980.0,90700.0,114900.0
G,26080.0,26080.0,130400.0,130400.0
H,19800.0,12840.0,99000.0,64200.0
I,31780.0,22700.0,158900.0,113500.0
J,29420.0,2440.0,147100.0,12200.0
K,7760.0,13460.0,38800.0,67300.0
L,10860.0,20240.0,54300.0,101200.0
M,20240.0,5160.0,101200.0,25800.0
