Part,Process_Sequence,Total_Machines,Layout_Width_ft,Layout_Height_ft,Total_Area_sqft,Number_of_Steps
P1,B → A → B3 → C → D → I → J,122,260,216,56160,7
P2,A → C → D → H → J,29,122,180,21960,5
P3,B → D → C → I → J,50,160,216,34560,5
P4,A → B → D → G → H,22,116,108,12528,5
P5,B → C → D → I,20,94,144,13536,4
P6,A → B → C → D → H → I → J,31,150,144,21600,7
P7,E → F → C → D → I → J,40,196,144,28224,6
P8,E → H → J → I,24,114,180,20520,4
P9,F → G → E → G4 → I → J,32,232,180,41760,6
P10,E → F → I → J,14,108,108,11664,4
P11,E → G → E3 → G4 → I,40,248,108,26784,5
P12,E → G → F → I → J,37,180,216,38880,5
P13,E → F → G → F4 → G5 → H → I,34,232,144,33408,7
P14,E → F → G → H,32,174,180,31320,4
P15,E → G → F → H → J,19,122,144,17568,5
P16,F → H → I → J,32,142,216,30672,4
P17,K → L → M,27,17,31,527,3
P18,K → L → K3 → M,40,22,36,792,4
P19,L → M → L3 → M4,148,40,51,2040,4
P20,L → K → M,34,19,31,589,3
