process,group,equipment_count,layout_grid,rows,cols,total_spaces,wasted_spaces,machine_width_ft,machine_depth_ft,block_width_ft,block_depth_ft,block_area_sqft,aspect_ratio,utilization,perimeter_ft,optimization_score
A,ABCD,4,2×2,2,2,4,0,14,14,26,26,676,1.0,1.0,104,46.76
B,ABCD,14,2×7,2,7,14,0,14,14,86,26,2236,3.5,1.0,224,237.36
C,ABCD,4,2×2,2,2,4,0,14,14,26,26,676,1.0,1.0,104,46.76
D,ABCD,20,4×5,4,5,20,0,14,14,62,50,3100,1.25,1.0,224,133.5
E,EFG,12,3×4,3,4,12,0,22,15,88,45,3960,1.333,1.0,266,126.27
F,EFG,11,3×4,3,4,12,1,22,15,88,45,3960,1.333,0.9167,266,242.93
G,EFG,5,2×3,2,3,6,1,22,15,66,30,1980,1.5,0.8333,192,228.13
H,HIJ,15,3×5,3,5,15,0,14,36,70,108,7560,1.667,1.0,356,188.93
I,HIJ,15,3×5,3,5,15,0,14,36,70,108,7560,1.667,1.0,356,188.93
J,HIJ,24,4×6,4,6,24,0,14,36,84,144,12096,1.5,1.0,456,245.96
K,KLM,4,2×2,2,2,4,0,14,7,28,13,364,1.0,1.0,82,43.64
L,KLM,15,5×3,5,3,15,0,14,7,42,31,1302,1.667,1.0,146,126.35
M,KLM,23,6×4,6,4,24,1,14,7,56,37,2072,1.5,0.9583,186,254.05
