process,centroid_x,centroid_y
I,143.0,194.0
G,141.0,125.0
F,152.0,87.5
D,209.0,165.0
E,152.0,42.5
C,191.0,203.0
J,62.0,182.0
H,231.0,74.0
L,199.0,231.5
B,247.0,203.0
M,206.0,265.5
K,122.0,254.5
A,233.0,229.0
