From,To,Flow,Center_ID
A,B,11410.25641025641,1
A,C,3717.9487179487173,1
B,A,6987.179487179487,1
B,C,10641.02564102564,1
B,D,5128.205128205128,1
C,D,18974.358974358973,1
C,I,2051.2820512820513,1
D,C,2051.2820512820513,1
D,G,3076.9230769230767,1
D,H,5064.1025641025635,1
D,I,13910.25641025641,1
E,F,13846.153846153848,1
E,G,12435.897435897436,1
E,H,1538.4615384615383,1
F,C,4615.384615384616,1
F,G,12307.692307692309,1
F,H,4743.589743589744,1
F,I,4871.794871794872,1
G,E,5641.025641025641,1
G,F,5769.2307692307695,1
G,H,10769.23076923077,1
G,I,5641.025641025641,1
H,I,6987.179487179487,1
H,J,6025.641025641025,1
I,J,26794.871794871797,1
J,I,1538.4615384615383,1
K,L,5641.025641025642,1
K,M,8910.25641025641,1
L,K,8910.25641025641,1
L,M,15000.0,1
M,L,6666.666666666667,1
