From,To,Flow,Center_ID
A,B,17115.384615384613,1
A,C,5576.923076923076,1
B,A,10480.76923076923,1
B,C,15961.538461538461,1
B,D,7692.307692307692,1
C,D,28461.53846153846,1
C,I,3076.923076923077,1
D,C,3076.923076923077,1
D,G,4615.384615384615,1
D,H,7596.153846153846,1
D,I,20865.384615384617,1
E,F,20769.230769230773,1
E,G,18653.846153846152,1
E,H,2307.6923076923076,1
F,C,6923.076923076924,1
F,G,18461.53846153846,1
F,H,7115.384615384616,1
F,I,7307.692307692308,1
G,E,8461.538461538461,1
G,F,8653.846153846154,1
G,H,16153.846153846156,1
G,I,8461.538461538461,1
H,I,10480.76923076923,1
H,J,9038.461538461537,1
I,J,40192.307692307695,1
J,I,2307.6923076923076,1
K,L,8461.538461538461,1
K,M,13365.384615384617,1
L,K,13365.384615384617,1
L,M,22500.0,1
M,L,10000.0,1
