center_id,x,y,width,height,scaling_factor,Year
1,0.0,0.0,80.0,80.0,1.0,4
2,100.0,0.0,80.0,80.0,1.0,4
3,200.0,0.0,80.0,80.0,1.0,4
4,0.0,100.0,80.0,80.0,1.0,4
5,100.0,100.0,80.0,80.0,1.0,4
