process,centroid_x,centroid_y
I,167.0,161.0
G,140.0,110.0
F,129.0,80.0
D,149.0,222.0
C,193.0,210.0
E,118.0,42.5
H,69.0,161.0
J,258.0,197.0
L,194.0,244.5
B,161.0,279.0
M,232.0,287.5
K,195.0,301.5
A,131.0,305.0
