process,group,equipment_count,layout_grid,rows,cols,total_spaces,wasted_spaces,machine_width_ft,machine_depth_ft,block_width_ft,block_depth_ft,block_area_sqft,aspect_ratio,utilization,perimeter_ft,optimization_score
A,ABCD,4,2×2,2,2,4,0,14,14,26,26,676,1.0,1.0,104,46.76
B,ABCD,13,2×7,2,7,14,1,14,14,86,26,2236,3.5,0.9286,224,351.65
C,ABCD,4,2×2,2,2,4,0,14,14,26,26,676,1.0,1.0,104,46.76
D,ABCD,19,4×5,4,5,20,1,14,14,62,50,3100,1.25,0.95,224,243.5
E,EFG,11,3×4,3,4,12,1,22,15,88,45,3960,1.333,0.9167,266,242.93
F,EFG,10,2×5,2,5,10,0,22,15,110,30,3300,2.5,1.0,280,178.0
G,EFG,4,2×2,2,2,4,0,22,15,44,30,1320,1.0,1.0,148,53.2
H,HIJ,14,2×7,2,7,14,0,14,36,98,72,7056,3.5,1.0,340,285.56
I,HIJ,14,2×7,2,7,14,0,14,36,98,72,7056,3.5,1.0,340,285.56
J,HIJ,22,4×6,4,6,24,2,14,36,84,144,12096,1.5,0.9167,456,462.63
K,KLM,3,3×1,3,1,3,0,14,7,14,19,266,3.0,1.0,66,142.66
L,KLM,14,7×2,7,2,14,0,14,7,28,43,1204,3.5,1.0,142,227.04
M,KLM,22,6×4,6,4,24,2,14,7,56,37,2072,1.5,0.9167,186,362.39
