process,x,y,width_ft,depth_ft,centroid_x,centroid_y,area_sqft
I,118,125,98,72,167.0,161.0,7056
G,118,95,44,30,140.0,110.0,1320
F,74,65,110,30,129.0,80.0,3300
D,118,197,62,50,149.0,222.0,3100
C,180,197,26,26,193.0,210.0,676
E,74,20,88,45,118.0,42.5,3960
H,20,125,98,72,69.0,161.0,7056
J,216,125,84,144,258.0,197.0,12096
L,180,223,28,43,194.0,244.5,1204
B,118,266,86,26,161.0,279.0,2236
M,204,269,56,37,232.0,287.5,2072
K,188,292,14,19,195.0,301.5,266
A,118,292,26,26,131.0,305.0,676
