Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
4,A,66625.0,13325.0,4,20,0.7869,4233.6
4,B,231475.0,46295.0,11,55,0.9941,4233.6
4,C,64150.0,12830.0,4,20,0.7576,4233.6
4,D,335750.0,67150.0,16,80,0.9913,4233.6
4,E,198475.0,39695.0,10,50,0.9376,4233.6
4,F,181375.0,36275.0,9,45,0.952,4233.6
4,G,75275.0,15055.0,4,20,0.889,4233.6
4,H,238850.0,47770.0,12,60,0.9403,4233.6
4,I,247225.0,49445.0,12,60,0.9733,4233.6
4,J,405375.0,81075.0,20,100,0.9575,4233.6
4,K,55350.0,11070.0,3,15,0.8716,4233.6
4,L,244825.0,48965.0,12,60,0.9638,4233.6
4,M,386975.0,77395.0,19,95,0.9622,4233.6
4,TOTAL,2731725.0,546345.0,136,680,0.9489,4233.6
