Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
5,A,68775.0,22925.0,6,18,0.9025,4233.6
5,B,252050.0,84016.67,20,60,0.9923,4233.6
5,C,70550.0,23516.67,6,18,0.9258,4233.6
5,D,364850.0,121616.67,29,87,0.9906,4233.6
5,E,231250.0,77083.33,19,57,0.9583,4233.6
5,F,199825.0,66608.33,16,48,0.9833,4233.6
5,G,87075.0,29025.0,7,21,0.9794,4233.6
5,H,265075.0,88358.33,21,63,0.9938,4233.6
5,I,281725.0,93908.33,23,69,0.9644,4233.6
5,J,451025.0,150341.67,36,108,0.9864,4233.6
5,K,61100.0,20366.67,5,15,0.9621,4233.6
5,L,268950.0,89650.0,22,66,0.9625,4233.6
5,M,422700.0,140900.0,34,102,0.9789,4233.6
