Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Capacity_per_Equipment
3,A,64350.0,16087.5,4,16,0.9499893707482993,4233.6
3,B,214325.0,53581.25,13,52,0.9735531498924356,4233.6
3,C,59025.0,14756.25,4,16,0.8713771967120181,4233.6
3,D,312150.0,78037.5,19,76,0.9701523153120897,4233.6
3,E,175875.0,43968.75,11,44,0.9441513347763346,4233.6
3,F,168825.0,42206.25,10,40,0.9969352324263039,4233.6
3,G,67350.0,16837.5,4,16,0.9942779195011338,4233.6
3,H,220175.0,55043.75,14,56,0.9286886877766979,4233.6
3,I,221400.0,55350.0,14,56,0.9338556851311952,4233.6
3,J,370100.0,92525.0,22,88,0.9934055692984263,4233.6
3,K,50700.0,12675.0,3,12,0.9979686318972032,4233.6
3,L,225600.0,56400.0,14,56,0.951571104632329,4233.6
3,M,357850.0,89462.5,22,88,0.9605246770425341,4233.6
