Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
3,A,64350.0,21450.0,6,18,0.8444,4233.6
3,B,214325.0,71441.67,17,51,0.9926,4233.6
3,C,59025.0,19675.0,5,15,0.9295,4233.6
3,D,312150.0,104050.0,25,75,0.9831,4233.6
3,E,175875.0,58625.0,14,42,0.9891,4233.6
3,F,168825.0,56275.0,14,42,0.9495,4233.6
3,G,67350.0,22450.0,6,18,0.8838,4233.6
3,H,220175.0,73391.67,18,54,0.9631,4233.6
3,I,221400.0,73800.0,18,54,0.9684,4233.6
3,J,370100.0,123366.67,30,90,0.9713,4233.6
3,K,50700.0,16900.0,4,12,0.998,4233.6
3,L,225600.0,75200.0,18,54,0.9868,4233.6
3,M,357850.0,119283.33,29,87,0.9716,4233.6
3,TOTAL,2507725.0,835908.34,204,612,0.9679,4233.6
