Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
4,A,66625.0,33312.5,8,16,0.9836,4233.6
4,B,231475.0,115737.5,28,56,0.9764,4233.6
4,C,64150.0,32075.0,8,16,0.947,4233.6
4,D,335750.0,167875.0,40,80,0.9913,4233.6
4,E,198475.0,99237.5,24,48,0.9767,4233.6
4,F,181375.0,90687.5,22,44,0.9737,4233.6
4,G,75275.0,37637.5,9,18,0.9878,4233.6
4,H,238850.0,119425.0,29,58,0.9727,4233.6
4,I,247225.0,123612.5,30,60,0.9733,4233.6
4,J,405375.0,202687.5,48,96,0.9974,4233.6
4,K,55350.0,27675.0,7,14,0.9339,4233.6
4,L,244825.0,122412.5,29,58,0.9971,4233.6
4,M,386975.0,193487.5,46,92,0.9935,4233.6
4,TOTAL,2731725.0,1365862.5,328,656,0.9836,4233.6
