Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
2,A,62075.0,20691.67,5,15,0.9775,4233.6
2,B,197175.0,65725.0,16,48,0.9703,4233.6
2,C,53900.0,17966.67,5,15,0.8488,4233.6
2,D,288550.0,96183.33,23,69,0.9878,4233.6
2,E,153275.0,51091.67,13,39,0.9283,4233.6
2,F,156275.0,52091.67,13,39,0.9465,4233.6
2,G,59425.0,19808.33,5,15,0.9358,4233.6
2,H,201500.0,67166.67,16,48,0.9916,4233.6
2,I,195575.0,65191.67,16,48,0.9624,4233.6
2,J,334825.0,111608.33,27,81,0.9764,4233.6
2,K,46050.0,15350.0,4,12,0.9064,4233.6
2,L,206375.0,68791.67,17,51,0.9558,4233.6
2,M,328725.0,109575.0,26,78,0.9955,4233.6
2,TOTAL,2283725.0,761241.68,186,558,0.9667,4233.6
