Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
3,A,64350.0,32175.0,8,16,0.95,4233.6
3,B,214325.0,107162.5,26,52,0.9736,4233.6
3,C,59025.0,29512.5,7,14,0.9959,4233.6
3,D,312150.0,156075.0,37,74,0.9964,4233.6
3,E,175875.0,87937.5,21,42,0.9891,4233.6
3,F,168825.0,84412.5,20,40,0.9969,4233.6
3,G,67350.0,33675.0,8,16,0.9943,4233.6
3,H,220175.0,110087.5,27,54,0.9631,4233.6
3,I,221400.0,110700.0,27,54,0.9684,4233.6
3,J,370100.0,185050.0,44,88,0.9934,4233.6
3,K,50700.0,25350.0,6,12,0.998,4233.6
3,L,225600.0,112800.0,27,54,0.9868,4233.6
3,M,357850.0,178925.0,43,86,0.9829,4233.6
