Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
2,A,62075.0,12415.0,3,15,0.9775,4233.6
2,B,197175.0,39435.0,10,50,0.9315,4233.6
2,C,53900.0,10780.0,3,15,0.8488,4233.6
2,D,288550.0,57710.0,14,70,0.9737,4233.6
2,E,153275.0,30655.0,8,40,0.9051,4233.6
2,F,156275.0,31255.0,8,40,0.9228,4233.6
2,G,59425.0,11885.0,3,15,0.9358,4233.6
2,H,201500.0,40300.0,10,50,0.9519,4233.6
2,I,195575.0,39115.0,10,50,0.9239,4233.6
2,J,334825.0,66965.0,16,80,0.9886,4233.6
2,K,46050.0,9210.0,3,15,0.7252,4233.6
2,L,206375.0,41275.0,10,50,0.9749,4233.6
2,M,328725.0,65745.0,16,80,0.9706,4233.6
