Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
5,A,68775.0,13755.0,4,20,0.8123,4233.6
5,B,252050.0,50410.0,12,60,0.9923,4233.6
5,C,70550.0,14110.0,4,20,0.8332,4233.6
5,D,364850.0,72970.0,18,90,0.9576,4233.6
5,E,231250.0,46250.0,11,55,0.9931,4233.6
5,F,199825.0,39965.0,10,50,0.944,4233.6
5,G,87075.0,17415.0,5,25,0.8227,4233.6
5,H,265075.0,53015.0,13,65,0.9633,4233.6
5,I,281725.0,56345.0,14,70,0.9506,4233.6
5,J,451025.0,90205.0,22,110,0.9685,4233.6
5,K,61100.0,12220.0,3,15,0.9621,4233.6
5,L,268950.0,53790.0,13,65,0.9773,4233.6
5,M,422700.0,84540.0,20,100,0.9984,4233.6
