Year,Process,Total_Workload_Min,Workload_per_Center_Min,Equipment_per_Center,Total_Equipment,Utilization_per_Center,Base_Capacity_per_Equipment
2,A,62075.0,31037.5,8,16,0.9164,4233.6
2,B,197175.0,98587.5,24,48,0.9703,4233.6
2,C,53900.0,26950.0,7,14,0.9094,4233.6
2,D,288550.0,144275.0,35,70,0.9737,4233.6
2,E,153275.0,76637.5,19,38,0.9527,4233.6
2,F,156275.0,78137.5,19,38,0.9714,4233.6
2,G,59425.0,29712.5,8,16,0.8773,4233.6
2,H,201500.0,100750.0,24,48,0.9916,4233.6
2,I,195575.0,97787.5,24,48,0.9624,4233.6
2,J,334825.0,167412.5,40,80,0.9886,4233.6
2,K,46050.0,23025.0,6,12,0.9064,4233.6
2,L,206375.0,103187.5,25,50,0.9749,4233.6
2,M,328725.0,164362.5,39,78,0.9955,4233.6
