Num_Fractals,From_Year,To_Year,Year4_Equipment,Target_Year_Equipment,Scaling_Factor,Space_Reduction_%
2,4,2,656,556,0.8475609756097561,15.243902439024392
2,4,3,656,602,0.9176829268292683,8.231707317073166
2,4,5,656,730,1.1128048780487805,-11.280487804878048
3,4,2,666,558,0.8378378378378378,16.216216216216218
3,4,3,666,612,0.918918918918919,8.108108108108103
3,4,5,666,732,1.0990990990990992,-9.90990990990992
4,4,2,664,568,0.8554216867469879,14.457831325301207
4,4,3,664,616,0.927710843373494,7.2289156626506035
4,4,5,664,736,1.108433734939759,-10.843373493975905
5,4,2,680,570,0.8382352941176471,16.176470588235293
5,4,3,680,625,0.9191176470588235,8.088235294117652
5,4,5,680,745,1.0955882352941178,-9.558823529411775
