center_id,x,y,width,height,scaling_factor,Year
1,0.0,0.0,80.0,80.0,1.0,4
2,100.0,0.0,80.0,80.0,1.0,4
3,0.0,100.0,80.0,80.0,1.0,4
4,100.0,100.0,80.0,80.0,1.0,4
