Year,From,To,Flow,Center_ID
3,A,B,15900.0,1
3,A,C,5100.0,1
3,B,A,9100.0,1
3,B,C,15666.666666666666,1
3,B,D,9166.666666666668,1
3,C,D,26400.0,1
3,C,I,5666.666666666667,1
3,D,C,5666.666666666667,1
3,D,G,3500.0,1
3,D,H,8400.0,1
3,D,I,18000.0,1
3,E,F,19966.666666666664,1
3,E,G,26433.333333333336,1
3,E,H,5300.0,1
3,F,C,5633.333333333333,1
3,F,G,19566.666666666668,1
3,F,H,6933.333333333334,1
3,F,I,9633.333333333332,1
3,G,E,10366.666666666668,1
3,G,F,13333.333333333332,1
3,G,H,15433.333333333334,1
3,G,I,10366.666666666668,1
3,H,I,11200.0,1
3,H,J,12966.666666666666,1
3,I,J,41800.0,1
3,J,I,5300.0,1
3,K,L,10766.666666666668,1
3,K,M,13900.0,1
3,L,K,13900.0,1
3,L,M,22766.666666666668,1
3,M,L,9200.0,1
