,A,B,C,D,E,F,G,H,I,J,K,L,M
A,0.0,15900.0,5100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B,9100.0,0.0,15666.666666666666,9166.666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C,0.0,0.0,0.0,26400.0,0.0,0.0,0.0,0.0,5666.666666666667,0.0,0.0,0.0,0.0
D,0.0,0.0,5666.666666666667,0.0,0.0,0.0,3500.0,8400.0,18000.0,0.0,0.0,0.0,0.0
E,0.0,0.0,0.0,0.0,0.0,19966.666666666664,26433.333333333336,5300.0,0.0,0.0,0.0,0.0,0.0
F,0.0,0.0,5633.333333333333,0.0,0.0,0.0,19566.666666666668,6933.333333333334,9633.333333333332,0.0,0.0,0.0,0.0
G,0.0,0.0,0.0,0.0,10366.666666666668,13333.333333333332,0.0,15433.333333333334,10366.666666666668,0.0,0.0,0.0,0.0
H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11200.0,12966.666666666666,0.0,0.0,0.0
I,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41800.0,0.0,0.0,0.0
J,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5300.0,0.0,0.0,0.0,0.0
K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10766.666666666668,13900.0
L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.0,0.0,22766.666666666668
M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9200.0,0.0
