Process,In_Flow_per_Center,Out_Flow_per_Center,Total_In_Flow,Total_Out_Flow
A,9100.0,21000.0,27300.0,63000.0
B,15900.0,33933.333333333336,47700.0,101800.0
C,32066.666666666664,32066.666666666668,96200.0,96200.0
D,35566.66666666667,35566.66666666667,106700.00000000001,106700.00000000001
E,10366.666666666668,51700.0,31100.000000000004,155100.0
F,33300.0,41766.666666666664,99900.0,125300.0
G,49500.0,49500.0,148500.0,148500.0
H,36066.66666666667,24166.666666666664,108200.00000000001,72500.0
I,60166.66666666667,41800.0,180500.0,125400.0
J,54766.666666666664,5300.0,164300.0,15900.0
K,13900.0,24666.666666666668,41700.0,74000.0
L,19966.666666666668,36666.66666666667,59900.0,110000.00000000001
M,36666.66666666667,9200.0,110000.00000000001,27600.0
